,species,sex,age,locality,elevation,elev_cat,lat,lon,tHbcorr
1,Phleocryptes melanops,male,0,Patamo de Ite,3,l,-17.92471667,-70.93836667,NA
2,Phleocryptes melanops,female,0,Patamo de Ite,3,l,-17.92471667,-70.93836667,17.5
3,Tachuris rubrigastra,male,0,Playa de Puerto Viejo,1,l,-12.57491667,-76.70346667,14.5
4,Phleocryptes melanops,male,0,Patamo de Ite,3,l,-17.92471667,-70.93836667,14
5,Phleocryptes melanops,male,1,Estero Mantagua,8,l,-32.88493333,-71.50816667,18.5
6,Phleocryptes melanops,male,0,Playa de Puerto Viejo,1,l,-12.57491667,-76.70346667,15.4
7,Tachuris rubrigastra,male,0,Viscachuni,3828,h,-15.80676667,-69.99171667,17.6
8,Phleocryptes melanops,unkown,1,Estero Mantagua,8,l,-32.88493333,-71.50816667,15.4
9,Phleocryptes melanops,male,1,Viscachuni,3828,h,-15.80676667,-69.99171667,16.5
10,Phleocryptes melanops,male,0,Estero Mantagua,8,l,-32.88493333,-71.50816667,14.5
11,Phleocryptes melanops,male,0,Viscachuni,3828,h,-15.80676667,-69.99171667,15.4
12,Phleocryptes melanops,female,1,Viscachuni,3828,h,-15.80676667,-69.99171667,15.6
13,Phleocryptes melanops,male,1,Viscachuni,3828,h,-15.80676667,-69.99171667,16.7
14,Phleocryptes melanops,female,0,Puerto Morin,0,l,-8.426666667,-78.90415,17.9
15,Phleocryptes melanops,male,0,Ondores,4061,h,-11.0563,-76.15615,14.5
16,Phleocryptes melanops,male,0,Ondores,4050,h,-11.05541667,-76.15652778,15.1
17,Phleocryptes melanops,female,1,Puerto Morin,0,l,-8.4258,-78.90205,19.2
18,Phleocryptes melanops,male,0,Viscachuni,3828,h,-15.80676667,-69.99171667,16.1
19,Phleocryptes melanops,female,1,Puerto Morin,0,l,-8.4258,-78.90205,16.7
20,Phleocryptes melanops,female,0,Ondores,4060,h,-11.05541667,-76.15652778,16.7
21,Phleocryptes melanops,male,0,Puerto Morin,0,l,-8.4258,-78.90205,17.5
22,Phleocryptes melanops,male,1,Viscachuni,3828,h,-15.80676667,-69.99171667,15.8
23,Phleocryptes melanops,male,0,Viscachuni,3828,h,-15.80676667,-69.99171667,16.5
24,Phleocryptes melanops,male,0,Puerto Morin,-1,l,-8.426616667,-78.90375,19.4
25,Phleocryptes melanops,male,0,Laguna Napique,4,l,-5.517133333,-80.70375,15.5
26,Phleocryptes melanops,female,0,Puerto Morin,0,l,-8.426666667,-78.90415,15.7
27,Phleocryptes melanops,female,0,Puerto Morin,0,l,-8.426616667,-78.90375,17.7
28,Phleocryptes melanops,male,0,Playa de Puerto Viejo,1,l,-12.57491667,-76.70346667,14.6
29,Phleocryptes melanops,female,1,Laguna Napique,6,l,-5.5171,-80.70386667,16.7
30,Phleocryptes melanops,male,0,Ondores,4060,h,-11.05496667,-76.15656667,17.8
31,Phleocryptes melanops,female,0,Patamo de Ite,3,l,-17.92471667,-70.93836667,15.1
32,Phleocryptes melanops,male,1,Puerto Morin,0,l,-8.426666667,-78.90415,13.7
33,Phleocryptes melanops,female,0,Playa de Puerto Viejo,1,l,-12.57491667,-76.70346667,13.5
34,Phleocryptes melanops,male,1,Ondores,4056,h,-11.05496667,-76.15656667,15.9
35,Phleocryptes melanops,female,0,Patamo de Ite,3,l,-17.92471667,-70.93836667,-1
36,Phleocryptes melanops,male,0,Patamo de Ite,3,l,-17.92471667,-70.93836667,13.1
37,Phleocryptes melanops,male,1,Laguna Napique,3,l,-5.51765,-80.70386667,17.8
38,Phleocryptes melanops,male,1,Estero Mantagua,8,l,-32.88493333,-71.50816667,13.8
39,Phleocryptes melanops,female,1,Laguna Napique,6,l,-5.5171,-80.70386667,14.9
40,Phleocryptes melanops,female,0,Playa de Puerto Viejo,1,l,-12.57491667,-76.70346667,14.7
41,Phleocryptes melanops,male,0,Viscachuni,3828,h,-15.80676667,-69.99171667,14.9
42,Phleocryptes melanops,female,0,Ondores,4060,h,-11.05496667,-76.15656667,13.1
43,Phleocryptes melanops,female,1,Laguna Napique,3,l,-5.517133333,-80.70375,16
44,Phleocryptes melanops,male,1,Laguna Napique,4,l,-5.517133333,-80.70375,14.8
45,Phleocryptes melanops,male,0,Puerto Morin,-1,l,-8.426616667,-78.90375,16.3
46,Phleocryptes melanops,female,0,Ondores,4061,h,-11.0563,-76.15615,15.6
47,Phleocryptes melanops,male,1,Laguna Napique,6,l,-5.5171,-80.70386667,17.7
48,Phleocryptes melanops,male,1,Estero Mantagua,8,l,-32.88493333,-71.50816667,14.1
49,Phleocryptes melanops,female,0,Laguna Napique,3,l,-5.51765,-80.70386667,16.7
50,Phleocryptes melanops,female,1,Playa de Puerto Viejo,1,l,-12.57491667,-76.70346667,15.1
51,Phleocryptes melanops,female,0,Puerto Morin,0,l,-8.4258,-78.90205,14.5
52,Phleocryptes melanops,male,1,Playa de Puerto Viejo,1,l,-12.57491667,-76.70346667,15.7
53,Phleocryptes melanops,male,0,Playa de Puerto Viejo,1,l,-12.57491667,-76.70346667,15.2
54,Phleocryptes melanops,male,0,Ondores,4060,h,-11.05496667,-76.15656667,19.3
55,Tachuris rubrigastra,male,0,Patamo de Ite,3,l,-17.92471667,-70.93836667,15.9
56,Phleocryptes melanops,male,1,Estero Mantagua,8,l,-32.88493333,-71.50816667,15.7
57,Phleocryptes melanops,female,0,Estero Mantagua,8,l,-32.88493333,-71.50816667,13.3
58,Phleocryptes melanops,female,1,Laguna Napique,6,l,-5.5171,-80.70386667,18.1
59,Phleocryptes melanops,female,0,Ondores,4061,h,-11.0563,-76.15615,18.2
60,Tachuris rubrigastra,male,0,Ondores,4058,h,-11.05583333,-76.156,17.8
61,Tachuris rubrigastra,male,0,Ondores,4058,h,-11.05583333,-76.156,-1
62,Phleocryptes melanops,female,0,Puerto Morin,-1,l,-8.426616667,-78.90375,17
63,Tachuris rubrigastra,male,0,Patamo de Ite,3,l,-17.92471667,-70.93836667,15.3
64,Phleocryptes melanops,male,0,Ondores,4058,h,-11.05583333,-76.156,17
65,Phleocryptes melanops,male,0,Ondores,4058,h,-11.05583333,-76.156,15.9
66,Tachuris rubrigastra,male,0,Puerto Morin,-1,l,-8.426616667,-78.90375,16.8
67,Phleocryptes melanops,male,0,Patamo de Ite,3,l,-17.92471667,-70.93836667,13.7
69,Phleocryptes melanops,male,0,Ondores,4050,h,-11.05541667,-76.15652778,17.8
70,Tachuris rubrigastra,male,0,Playa de Puerto Viejo,1,l,-12.57491667,-76.70346667,15.4
71,Tachuris rubrigastra,male,0,Ondores,4058,h,-11.05583333,-76.156,16.7
72,Tachuris rubrigastra,male,0,Ondores,4050,h,-11.05541667,-76.15652778,21.4
73,Phleocryptes melanops,female,1,Playa de Puerto Viejo,1,l,-12.57491667,-76.70346667,14.8
74,Tachuris rubrigastra,male,1,Laguna Napique,4,l,-5.517133333,-80.70375,17.2
75,Tachuris rubrigastra,female,0,Patamo de Ite,3,l,-17.92471667,-70.93836667,17.1
76,Tachuris rubrigastra,male,0,Patamo de Ite,3,l,-17.92471667,-70.93836667,16.7
78,Phleocryptes melanops,male,1,Laguna Napique,4,l,-5.517133333,-80.70386667,17.4
79,Tachuris rubrigastra,male,0,Patamo de Ite,3,l,-17.92471667,-70.93836667,14.3
81,Tachuris rubrigastra,male,0,Ondores,4058,h,-11.05583333,-76.156,18.8
82,Tachuris rubrigastra,female,0,Patamo de Ite,3,l,-17.92471667,-70.93836667,16.6
83,Tachuris rubrigastra,female,0,Playa de Puerto Viejo,1,l,-12.57491667,-76.70346667,14.8
